date,participant,trial,nTarg,targOnset,targFlash,targRT,targCor,targGap,FA_rt,isPrac,isStationary
2021-11-12,davidarvo,15,8,2.484112,2,3.049925,0,0.01250001,NaN,1,1
2021-11-12,davidarvo,15,8,3.36799,1,0,0,0.01250001,NaN,1,1
2021-11-12,davidarvo,15,8,4.251963,1,4.760534,1,0.01250001,NaN,1,1
2021-11-12,davidarvo,15,8,5.101625,1,5.695046,1,0.01250001,NaN,1,1
2021-11-12,davidarvo,15,8,5.940112,1,6.481436,1,0.01250001,NaN,1,1
2021-11-12,davidarvo,15,8,6.793795,1,7.417645,1,0.01250001,NaN,1,1
2021-11-12,davidarvo,15,8,7.629339,1,8.228463,1,0.01250001,NaN,1,1
2021-11-12,davidarvo,16,8,1.532171,1,2.021044,1,0.01250001,NaN,1,1
2021-11-12,davidarvo,16,8,2.376466,1,2.859847,1,0.01250001,NaN,1,1
2021-11-12,davidarvo,16,8,3.220096,1,3.715672,1,0.01250001,NaN,1,1
2021-11-12,davidarvo,16,8,4.075265,2,4.570515,1,0.01000001,NaN,1,1
2021-11-12,davidarvo,16,8,4.962774,2,5.472357,0,0.01250001,NaN,1,1
2021-11-12,davidarvo,16,8,5.851274,2,6.328629,0,0.01500001,NaN,1,1
2021-11-12,davidarvo,16,8,6.729213,2,7.40701,1,0.01250001,NaN,1,1
2021-11-12,davidarvo,16,8,7.617758,2,8.195111,1,0.01250001,NaN,1,1
2021-11-12,davidarvo,17,7,1.643321,2,2.231223,1,0.01000001,NaN,1,1
2021-11-12,davidarvo,17,7,2.542759,2,3.02574,0,0.01250001,NaN,1,1
2021-11-12,davidarvo,17,7,3.420371,2,4.057184,1,0.01000001,NaN,1,1
2021-11-12,davidarvo,17,7,4.302333,2,4.86318,1,0.01000001,NaN,1,1
2021-11-12,davidarvo,17,7,5.197052,2,5.761385,0,0.01250001,NaN,1,1
2021-11-12,davidarvo,17,7,6.062829,1,6.596123,1,0.01250001,NaN,1,1
2021-11-12,davidarvo,17,7,7.80738,1,8.460069,1,0.01250001,NaN,1,1
2021-11-12,davidarvo,18,7,1.6102,2,2.265987,1,0.01000001,NaN,1,1
2021-11-12,davidarvo,18,7,2.499814,1,2.910995,1,0.01000001,NaN,1,1
2021-11-12,davidarvo,18,7,3.334131,1,3.921213,1,0.01000001,NaN,1,1
2021-11-12,davidarvo,18,7,4.177464,1,4.647062,1,0.01000001,NaN,1,1
2021-11-12,davidarvo,18,7,5.020685,2,5.521176,0,0.01250001,NaN,1,1
2021-11-12,davidarvo,18,7,5.888019,1,6.354112,0,0.01250001,NaN,1,1
2021-11-12,davidarvo,18,7,6.730107,1,7.330034,1,0.01250001,NaN,1,1
2021-11-12,davidarvo,19,8,1.431826,1,1.908139,1,0.01250001,NaN,1,1
2021-11-12,davidarvo,19,8,2.275492,2,2.687629,0,0.01500001,NaN,1,1
2021-11-12,davidarvo,19,8,3.164934,2,3.864402,1,0.01250001,NaN,1,1
2021-11-12,davidarvo,19,8,4.052614,1,4.585509,1,0.01250001,NaN,1,1
2021-11-12,davidarvo,19,8,4.949935,1,5.381942,1,0.01250001,NaN,1,1
2021-11-12,davidarvo,19,8,5.791493,1,6.312988,1,0.01250001,NaN,1,1
2021-11-12,davidarvo,19,8,6.830709,2,7.389576,1,0.01000001,NaN,1,1
2021-11-12,davidarvo,19,8,7.717521,1,8.268176,1,0.01000001,NaN,1,1
2021-11-12,davidarvo,20,8,1.755298,1,2.129787,1,0.01000001,NaN,0,0
2021-11-12,davidarvo,20,8,2.587959,1,3.110269,1,0.01000001,NaN,0,0
2021-11-12,davidarvo,20,8,3.432648,1,3.887402,1,0.01000001,NaN,0,0
2021-11-12,davidarvo,20,8,4.289485,1,4.698413,1,0.01000001,NaN,0,0
2021-11-12,davidarvo,20,8,5.126372,1,5.541299,1,0.01000001,NaN,0,0
2021-11-12,davidarvo,20,8,5.964137,2,6.483331,1,0.007500007,NaN,0,0
2021-11-12,davidarvo,20,8,7.017659,2,7.502527,0,0.01000001,NaN,0,0
2021-11-12,davidarvo,20,8,7.907425,2,8.306708,0,0.01250001,NaN,0,0
2021-11-12,davidarvo,21,8,1.627173,2,2.193595,1,0.01250001,NaN,0,0
2021-11-12,davidarvo,21,8,2.512749,1,2.948653,1,0.01250001,NaN,0,0
2021-11-12,davidarvo,21,8,3.359319,2,3.940132,1,0.01250001,NaN,0,0
2021-11-12,davidarvo,21,8,4.259224,2,4.737063,1,0.01250001,NaN,0,0
2021-11-12,davidarvo,21,8,5.147384,1,5.722149,1,0.01250001,NaN,0,0
2021-11-12,davidarvo,21,8,6.001618,1,6.55819,1,0.01250001,NaN,0,0
2021-11-12,davidarvo,21,8,6.84463,2,7.290709,0,0.01250001,NaN,0,0
2021-11-12,davidarvo,21,8,7.740981,2,8.199265,1,0.01250001,NaN,0,0
2021-11-12,davidarvo,22,8,1.568825,2,2.09813,1,0.01250001,NaN,0,0
2021-11-12,davidarvo,22,8,2.463828,1,2.941515,1,0.01250001,NaN,0,0
2021-11-12,davidarvo,22,8,3.313188,2,3.918169,1,0.01250001,NaN,0,0
